ts,zai_session_pct,zai_token_pct,throttle,active_profiles,dispatch_rc
2026-06-25T02:02:55Z,0,100,0,11,0
2026-06-25T02:03:56Z,0,100,0,11,0
2026-06-25T02:04:56Z,0,100,0,11,0
2026-06-25T02:05:57Z,0,100,0,11,0
2026-06-25T02:06:57Z,0,100,0,11,0
2026-06-25T02:07:57Z,0,100,0,11,0
2026-06-25T02:08:57Z,0,100,0,11,0
2026-06-25T02:09:58Z,0,100,0,11,0
2026-06-25T02:10:58Z,0,100,0,11,0
2026-06-25T02:11:58Z,0,100,0,11,0
2026-06-25T02:12:58Z,0,100,0,11,0
2026-06-25T02:13:59Z,0,100,0,11,0
2026-06-25T02:14:59Z,0,100,0,11,0
2026-06-25T02:15:59Z,0,100,0,11,0
2026-06-25T02:17:00Z,0,100,0,11,0
2026-06-25T02:18:00Z,0,100,0,11,0
2026-06-25T02:19:01Z,0,100,0,11,0
2026-06-25T02:20:01Z,0,100,0,11,0
2026-06-25T02:21:01Z,0,100,0,11,0
2026-06-25T02:22:01Z,0,100,0,11,0
2026-06-25T02:23:01Z,0,100,0,11,0
2026-06-25T02:24:02Z,0,100,0,11,0
2026-06-25T02:25:02Z,0,100,0,11,0
2026-06-25T02:26:03Z,0,100,0,11,0
2026-06-25T02:27:03Z,0,100,0,11,0
2026-06-25T02:28:03Z,0,100,0,11,0
2026-06-25T02:29:04Z,0,100,0,11,0
2026-06-25T02:30:04Z,0,100,0,11,0
2026-06-25T02:31:05Z,0,100,0,11,0
2026-06-25T02:32:05Z,0,100,0,11,0
2026-06-25T02:33:06Z,0,100,0,11,0
2026-06-25T02:34:06Z,0,100,0,11,0
2026-06-25T02:35:06Z,0,100,0,11,0
2026-06-25T02:36:07Z,0,100,0,11,0
2026-06-25T02:37:07Z,0,100,0,11,0
2026-06-25T02:38:07Z,0,100,0,11,0
2026-06-25T02:39:08Z,0,100,0,11,0
2026-06-25T02:40:08Z,0,100,0,11,0
2026-06-25T02:41:09Z,0,100,0,11,0
2026-06-25T02:42:09Z,0,100,0,11,0
2026-06-25T02:43:09Z,0,100,0,11,0
2026-06-25T02:44:10Z,0,100,0,11,0
2026-06-25T02:45:10Z,0,100,0,11,0
2026-06-25T02:46:10Z,0,100,0,11,0
2026-06-25T02:47:11Z,0,100,0,11,0
2026-06-25T02:48:11Z,0,100,0,11,0
2026-06-25T02:49:12Z,0,100,0,11,0
2026-06-25T02:50:12Z,0,100,0,11,0
2026-06-25T02:51:13Z,0,100,0,11,0
2026-06-25T02:52:13Z,0,100,0,11,0
2026-06-25T02:53:13Z,0,100,0,11,0
2026-06-25T02:54:14Z,0,100,0,11,0
2026-06-25T02:55:14Z,0,100,0,11,0
2026-06-25T02:56:15Z,0,100,0,11,0
2026-06-25T02:57:15Z,0,100,0,11,0
2026-06-25T02:58:15Z,0,100,0,11,0
2026-06-25T02:59:15Z,0,100,0,11,0
2026-06-25T03:00:16Z,0,100,0,11,0
2026-06-25T03:01:16Z,0,100,0,11,0
2026-06-25T03:02:16Z,0,100,0,11,0
2026-06-25T03:03:16Z,0,100,0,11,0
2026-06-25T03:04:17Z,0,100,0,11,0
2026-06-25T03:05:17Z,0,100,0,11,0
2026-06-25T03:06:17Z,0,100,0,11,0
2026-06-25T03:07:18Z,0,100,0,11,0
2026-06-25T03:08:18Z,0,100,0,11,0
2026-06-25T03:09:18Z,0,100,0,11,0
2026-06-25T03:10:18Z,0,100,0,11,0
2026-06-25T03:11:19Z,0,100,0,11,0
2026-06-25T03:12:19Z,0,100,0,11,0
2026-06-25T03:13:19Z,0,100,0,11,0
2026-06-25T03:14:20Z,0,100,0,11,0
2026-06-25T03:15:20Z,0,100,0,11,0
2026-06-25T03:16:21Z,0,100,0,11,0
2026-06-25T03:17:21Z,0,100,0,11,0
2026-06-25T03:18:21Z,0,100,0,11,0
2026-06-25T03:19:22Z,0,100,0,11,0
2026-06-25T03:20:22Z,0,100,0,11,0
2026-06-25T03:21:23Z,0,100,0,11,0
2026-06-25T03:22:23Z,0,100,0,11,0
2026-06-25T03:23:23Z,0,100,0,11,0
2026-06-25T03:24:24Z,0,100,0,11,0
2026-06-25T03:25:24Z,0,100,0,11,0
2026-06-25T03:26:24Z,0,100,0,11,0
2026-06-25T03:27:25Z,0,100,0,11,0
2026-06-25T03:28:25Z,0,100,0,11,0
2026-06-25T03:29:26Z,0,100,0,11,0
2026-06-25T03:30:26Z,0,100,0,11,0
2026-06-25T03:31:26Z,0,100,0,11,0
2026-06-25T03:32:27Z,0,100,0,11,0
2026-06-25T03:33:27Z,0,100,0,11,0
2026-06-25T03:34:28Z,0,100,0,11,0
2026-06-25T03:35:28Z,0,100,0,11,0
2026-06-25T03:36:29Z,0,100,0,11,0
2026-06-25T03:37:29Z,0,100,0,11,0
2026-06-25T03:38:30Z,0,100,0,11,0
2026-06-25T03:39:30Z,0,100,0,11,0
2026-06-25T03:40:30Z,0,100,0,11,0
2026-06-25T03:41:31Z,0,100,0,11,0
2026-06-25T03:42:31Z,0,100,0,11,0
2026-06-25T03:43:32Z,0,100,0,11,0
2026-06-25T03:44:32Z,0,100,0,11,0
2026-06-25T03:45:32Z,0,100,0,11,0
2026-06-25T03:46:33Z,0,100,0,11,0
2026-06-25T03:47:33Z,0,100,0,11,0
